Record Length,20480
Sample Interval,CH1:0.0000200000016
Vertical Units,CH1:V,,
Vertical Scale,CH1:5.00,,
Vertical Offset,CH1:0.20000,,
Horizontal Units,s,,
Horizontal Scale,0.0250000000,,
Model Number,SDS1102CN,,
Serial Number,NEU00004121018,,
Software Version,3.01.01.31R17,,

Source,CH1
Second,Volt
-0.20214000000,0.00,
-0.20212000000,0.00,
-0.20210001563,0.00,
-0.20208001563,0.00,
-0.20206001563,0.00,
-0.20204000000,0.00,
-0.20202000000,0.00,
-0.20200000000,-0.20000,
-0.20198001563,0.00,
-0.20196001563,0.00,
-0.20194000000,0.00,
-0.20192000000,0.00,
-0.20190000000,0.00,
-0.20188001563,0.00,
-0.20186001563,0.00,
-0.20184000000,0.00,
-0.20182000000,-0.20000,
-0.20180000000,0.00,
-0.20178000000,0.00,
-0.20176001563,0.00,
-0.20174001563,-0.20000,
-0.20172000000,0.00,
-0.20170000000,0.00,
-0.20168000000,0.00,
-0.20166000000,0.00,
-0.20164001563,0.00,
-0.20162001563,0.00,
-0.20160000000,0.00,
-0.20158000000,0.00,
-0.20156000000,0.00,
-0.20154001563,0.00,
-0.20152001563,0.00,
-0.20150000000,0.00,
-0.20148000000,0.00,
-0.20146000000,0.00,
-0.20144000000,0.00,
-0.20142001563,0.00,
-0.20140001563,-0.20000,
-0.20138000000,-0.20000,
-0.20136000000,0.00,
-0.20134000000,0.00,
-0.20132000000,0.00,
-0.20130001563,0.00,
-0.20128000000,0.00,
-0.20126000000,-0.20000,
-0.20124000000,0.00,
-0.20122000000,0.00,
-0.20120001563,0.00,
-0.20118001563,0.00,
-0.20116000000,0.00,
-0.20114000000,0.00,
-0.20112000000,0.00,
-0.20110000000,0.00,
-0.20108001563,0.00,
-0.20106001563,0.00,
-0.20104000000,0.20000,
-0.20102000000,-0.20000,
-0.20100000000,0.00,
-0.20098000000,0.00,
-0.20096001563,0.00,
-0.20094000000,0.00,
-0.20092000000,0.00,
-0.20090000000,0.00,
-0.20088000000,0.00,
-0.20086001563,0.00,
-0.20084000000,0.00,
-0.20082000000,0.20000,
-0.20080000000,0.00,
-0.20078000000,0.00,
-0.20076000000,0.00,
-0.20074001563,0.00,
-0.20072000000,0.00,
-0.20070000000,0.00,
-0.20068000000,0.00,
-0.20066000000,0.00,
-0.20064001563,0.00,
-0.20062000000,0.00,
-0.20060000000,0.00,
-0.20058000000,0.00,
-0.20056000000,0.00,
-0.20054000000,0.00,
-0.20052001563,0.00,
-0.20050000000,0.20000,
-0.20048000000,0.00,
-0.20046000000,0.00,
-0.20044000000,-0.20000,
-0.20042000000,0.00,
-0.20040001563,0.00,
-0.20038000000,0.00,
-0.20036000000,0.00,
-0.20034000000,0.00,
-0.20032000000,0.00,
-0.20030001563,0.00,
-0.20028000000,0.00,
-0.20026000000,0.00,
-0.20024000000,0.00,
-0.20022000000,0.00,
-0.20020000000,0.00,
-0.20018001563,-0.20000,
-0.20016000000,0.00,
-0.20014000000,0.00,
-0.20012000000,0.00,
-0.20010000000,0.00,
-0.20008000000,0.00,
-0.20006001563,0.00,
-0.20004000000,0.00,
-0.20002000000,0.00,
-0.20000000000,0.00,
-0.19998001563,0.00,
-0.19996001563,0.00,
-0.19994001563,-0.20000,
-0.19992001563,-0.20000,
-0.19990001563,0.00,
-0.19988001563,-0.20000,
-0.19986001563,0.00,
-0.19984001563,-0.20000,
-0.19982001563,0.00,
-0.19980001563,0.00,
-0.19978001563,0.00,
-0.19976001563,-0.20000,
-0.19974001563,0.00,
-0.19972001563,0.00,
-0.19970001563,0.00,
-0.19968001563,0.00,
-0.19966001563,0.00,
-0.19964001563,0.00,
-0.19962001563,0.00,
-0.19960001563,0.00,
-0.19958001563,0.00,
-0.19956001563,0.00,
-0.19954001563,0.00,
-0.19952001563,0.00,
-0.19950001563,0.00,
-0.19948001563,0.00,
-0.19946001563,0.00,
-0.19944001563,0.00,
-0.19942001563,0.00,
-0.19940001563,0.00,
-0.19938001563,0.00,
-0.19936001563,0.00,
-0.19934001563,0.00,
-0.19932001563,0.00,
-0.19930001563,-0.20000,
-0.19928001563,0.00,
-0.19926001563,0.00,
-0.19924001563,0.00,
-0.19922001563,0.00,
-0.19920001563,-0.20000,
-0.19918001563,0.00,
-0.19916001563,-0.20000,
-0.19914001563,0.00,
-0.19912001563,0.00,
-0.19910001563,0.00,
-0.19908001563,-0.20000,
-0.19906001563,0.00,
-0.19904001563,0.00,
-0.19902001563,0.00,
-0.19900001563,0.00,
-0.19898001563,0.00,
-0.19896001563,0.00,
-0.19894001563,0.00,
-0.19892001563,0.00,
-0.19890001563,0.00,
-0.19888001563,0.00,
-0.19886001563,0.00,
-0.19884000000,0.00,
-0.19882001563,0.00,
-0.19880001563,0.00,
-0.19878001563,0.00,
-0.19876001563,0.00,
-0.19874001563,0.00,
-0.19872001563,0.00,
-0.19870001563,0.00,
-0.19868001563,0.00,
-0.19866001563,0.00,
-0.19864001563,0.00,
-0.19862001563,0.00,
-0.19860001563,0.00,
-0.19858001563,0.00,
-0.19856001563,0.00,
-0.19854001563,-0.20000,
-0.19852001563,-0.20000,
-0.19850000000,-0.20000,
-0.19848001563,0.00,
-0.19846001563,0.00,
-0.19844001563,0.00,
-0.19842001563,0.00,
-0.19840001563,0.00,
-0.19838001563,0.00,
-0.19836001563,0.00,
-0.19834001563,0.00,
-0.19832001563,0.00,
-0.19830001563,0.00,
-0.19828000000,0.00,
-0.19826001563,0.00,
-0.19824001563,-0.20000,
-0.19822001563,0.00,
-0.19820001563,0.00,
-0.19818001563,-0.20000,
-0.19816000000,0.00,
-0.19814001563,0.00,
-0.19812001563,0.00,
-0.19810001563,0.00,
-0.19808001563,0.00,
-0.19806001563,0.00,
-0.19804001563,0.00,
-0.19802001563,-0.20000,
-0.19800001563,0.00,
-0.19798001563,0.00,
-0.19796001563,0.00,
-0.19794000000,0.00,
-0.19792001563,0.00,
-0.19790001563,0.00,
-0.19788001563,0.00,
-0.19786001563,0.00,
-0.19784000000,0.00,
-0.19782000000,-0.20000,
-0.19780001563,0.00,
-0.19778001563,0.00,
-0.19776001563,0.20000,
-0.19774001563,0.00,
-0.19772000000,0.00,
-0.19770001563,0.00,
-0.19768001563,0.00,
-0.19766001563,0.00,
-0.19764001563,0.00,
-0.19762000000,0.00,
-0.19760000000,0.00,
-0.19758001563,0.00,
-0.19756001563,0.00,
-0.19754001563,0.00,
-0.19752001563,0.00,
-0.19750000000,0.00,
-0.19748001563,0.00,
-0.19746001563,0.00,
-0.19744001563,0.00,
-0.19742001563,0.00,
-0.19740001563,0.00,
-0.19738000000,-0.20000,
-0.19736001563,0.00,
-0.19734001563,0.00,
-0.19732001563,0.00,
-0.19730001563,0.00,
-0.19728000000,0.00,
-0.19726000000,-0.20000,
-0.19724001563,0.00,
-0.19722001563,0.00,
-0.19720001563,0.00,
-0.19718001563,0.00,
-0.19716000000,0.00,
-0.19714001563,0.00,
-0.19712001563,0.00,
-0.19710001563,0.00,
-0.19708001563,0.00,
-0.19706001563,0.00,
-0.19704000000,0.00,
-0.19702001563,0.00,
-0.19700001563,0.00,
-0.19698001563,-0.20000,
-0.19696001563,0.00,
-0.19694000000,0.00,
-0.19692000000,0.00,
-0.19690001563,0.00,
-0.19688001563,0.00,
-0.19686001563,0.00,
-0.19684000000,-0.20000,
-0.19682000000,0.00,
-0.19680001563,0.00,
-0.19678001563,0.00,
-0.19676001563,0.00,
-0.19674001563,0.00,
-0.19672000000,0.00,
-0.19670000000,0.00,
-0.19668001563,0.00,
-0.19666001563,0.00,
-0.19664001563,0.00,
-0.19662001563,0.00,
-0.19660000000,0.00,
-0.19658000000,-0.20000,
-0.19656001563,-0.20000,
-0.19654001563,0.00,
-0.19652001563,0.00,
-0.19650000000,0.00,
-0.19648000000,0.00,
-0.19646001563,0.00,
-0.19644001563,0.00,
-0.19642001563,-0.20000,
-0.19640001563,-0.20000,
-0.19638000000,0.00,
-0.19636000000,0.00,
-0.19634001563,0.00,
-0.19632001563,0.00,
-0.19630001563,-0.20000,
-0.19628000000,-0.20000,
-0.19626000000,0.00,
-0.19624001563,0.00,
-0.19622001563,0.00,
-0.19620001563,0.00,
-0.19618001563,0.00,
-0.19616000000,0.00,
-0.19614000000,0.00,
-0.19612001563,0.00,
-0.19610001563,0.00,
-0.19608001563,0.00,
-0.19606001563,0.00,
-0.19604000000,0.00,
-0.19602000000,0.00,
-0.19600001563,0.00,
-0.19598001563,0.00,
-0.19596001563,0.00,
-0.19594000000,0.00,
-0.19592000000,0.00,
-0.19590001563,0.00,
-0.19588001563,0.20000,
-0.19586001563,0.00,
-0.19584000000,0.00,
-0.19582000000,0.00,
-0.19580000000,0.00,
-0.19578001563,0.00,
-0.19576001563,0.00,
-0.19574001563,0.00,
-0.19572000000,-0.20000,
-0.19570000000,-0.20000,
-0.19568000000,0.00,
-0.19566001563,0.00,
-0.19564001563,0.00,
-0.19562000000,0.00,
-0.19560000000,0.00,
-0.19558000000,0.00,
-0.19556001563,-0.20000,
-0.19554001563,-0.20000,
-0.19552001563,0.00,
-0.19550000000,0.00,
-0.19548000000,0.00,
-0.19546000000,0.00,
-0.19544001563,0.00,
-0.19542001563,0.00,
-0.19540001563,-0.20000,
-0.19538000000,0.00,
-0.19536000000,-0.20000,
-0.19534000000,0.00,
-0.19532001563,0.00,
-0.19530001563,0.00,
-0.19528000000,0.00,
-0.19526000000,0.00,
-0.19524000000,0.00,
-0.19522001563,0.00,
-0.19520001563,0.00,
-0.19518001563,0.00,
-0.19516000000,0.00,
-0.19514000000,0.00,
-0.19512000000,-0.20000,
-0.19510001563,0.00,
-0.19508001563,0.00,
-0.19506001563,0.00,
-0.19504000000,0.00,
-0.19502000000,0.00,
-0.19500000000,0.00,
-0.19498001563,0.00,
-0.19496001563,0.00,
-0.19494000000,0.00,
-0.19492000000,0.00,
-0.19490000000,0.00,
-0.19488001563,0.00,
-0.19486001563,0.00,
-0.19484000000,0.00,
-0.19482000000,0.00,
-0.19480000000,0.00,
-0.19478000000,0.00,
-0.19476001563,0.00,
-0.19474001563,0.00,
-0.19472000000,0.00,
-0.19470000000,0.00,
-0.19468000000,0.00,
-0.19466001563,0.00,
-0.19464001563,0.00,
-0.19462001563,0.00,
-0.19460000000,0.00,
-0.19458000000,0.00,
-0.19456000000,0.00,
-0.19454001563,0.00,
-0.19452001563,0.00,
-0.19450000000,0.00,
-0.19448000000,0.00,
-0.19446000000,0.00,
-0.19444000000,0.00,
-0.19442001563,0.00,
-0.19440001563,0.00,
-0.19438000000,0.00,
-0.19436000000,0.00,
-0.19434000000,0.00,
-0.19432001563,0.00,
-0.19430001563,0.00,
-0.19428000000,0.20000,
-0.19426000000,0.00,
-0.19424000000,0.00,
-0.19422000000,0.00,
-0.19420001563,0.00,
-0.19418001563,0.00,
-0.19416000000,0.00,
-0.19414000000,0.00,
-0.19412000000,-0.20000,
-0.19410000000,0.00,
-0.19408001563,0.00,
-0.19406001563,0.00,
-0.19404000000,0.00,
-0.19402000000,0.00,
-0.19400000000,0.00,
-0.19398001563,0.00,
-0.19396001563,0.00,
-0.19394000000,0.00,
-0.19392000000,0.00,
-0.19390000000,0.00,
-0.19388000000,0.00,
-0.19386001563,0.00,
-0.19384000000,0.00,
-0.19382000000,0.00,
-0.19380000000,0.00,
-0.19378000000,0.00,
-0.19376000000,0.00,
-0.19374001563,0.00,
-0.19372000000,-0.20000,
-0.19370000000,0.20000,
-0.19368000000,0.00,
-0.19366000000,0.00,
-0.19364001563,0.00,
-0.19362000000,0.00,
-0.19360000000,-0.20000,
-0.19358000000,0.00,
-0.19356000000,-0.20000,
-0.19354000000,0.00,
-0.19352001563,0.00,
-0.19350000000,0.00,
-0.19348000000,-0.20000,
-0.19346000000,0.00,
-0.19344000000,0.00,
-0.19342001563,0.00,
-0.19340001563,0.00,
-0.19338000000,0.00,
-0.19336000000,-0.20000,
-0.19334000000,0.00,
-0.19332000000,0.00,
-0.19330001563,-0.20000,
-0.19328000000,0.00,
-0.19326000000,0.00,
-0.19324000000,0.00,
-0.19322000000,0.00,
-0.19320000000,0.00,
-0.19318001563,0.20000,
-0.19316000000,0.00,
-0.19314000000,0.00,
-0.19312000000,0.00,
-0.19310000000,0.00,
-0.19308001563,0.00,
-0.19306001563,0.00,
-0.19304000000,0.00,
-0.19302000000,0.00,
-0.19300000000,0.00,
-0.19298001563,0.00,
-0.19296003125,0.00,
-0.19294001563,0.20000,
-0.19292001563,0.00,
-0.19290001563,0.00,
-0.19288001563,0.00,
-0.19286001563,0.00,
-0.19284001563,0.00,
-0.19282001563,0.00,
-0.19280001563,0.00,
-0.19278001563,0.00,
-0.19276001563,0.00,
-0.19274001563,0.00,
-0.19272001563,0.00,
-0.19270001563,0.00,
-0.19268001563,0.00,
-0.19266001563,0.00,
-0.19264001563,-0.20000,
-0.19262001563,0.00,
-0.19260001563,0.00,
-0.19258001563,0.00,
-0.19256001563,0.00,
-0.19254001563,0.00,
-0.19252001563,0.00,
-0.19250001563,0.00,
-0.19248001563,0.00,
-0.19246001563,0.00,
-0.19244001563,0.00,
-0.19242001563,0.00,
-0.19240001563,0.00,
-0.19238001563,0.00,
-0.19236001563,0.00,
-0.19234001563,0.00,
-0.19232001563,-0.20000,
-0.19230001563,0.00,
-0.19228001563,0.00,
-0.19226001563,0.00,
-0.19224001563,0.00,
-0.19222001563,0.00,
-0.19220001563,-0.20000,
-0.19218001563,-0.20000,
-0.19216001563,-0.20000,
-0.19214001563,-0.20000,
-0.19212001563,0.00,
-0.19210001563,0.00,
-0.19208001563,0.00,
-0.19206003125,-0.20000,
-0.19204001563,0.00,
-0.19202001563,0.00,
-0.19200001563,-0.20000,
-0.19198001563,0.00,
-0.19196001563,0.00,
-0.19194001563,0.00,
-0.19192001563,0.00,
-0.19190001563,0.00,
-0.19188001563,0.00,
-0.19186001563,0.00,
-0.19184001563,0.00,
-0.19182001563,0.00,
-0.19180001563,0.00,
-0.19178001563,0.00,
-0.19176001563,0.00,
-0.19174001563,0.00,
-0.19172001563,0.00,
-0.19170001563,0.00,
-0.19168001563,0.00,
-0.19166001563,0.00,
-0.19164001563,0.00,
-0.19162001563,0.00,
-0.19160001563,0.00,
-0.19158001563,0.00,
-0.19156001563,0.00,
-0.19154001563,0.00,
-0.19152001563,0.00,
-0.19150001563,0.00,
-0.19148001563,0.00,
-0.19146001563,0.00,
-0.19144001563,0.00,
-0.19142001563,0.00,
-0.19140001563,-0.20000,
-0.19138001563,0.00,
-0.19136001563,0.00,
-0.19134001563,0.00,
-0.19132001563,0.00,
-0.19130001563,0.00,
-0.19128000000,0.00,
-0.19126001563,0.00,
-0.19124001563,0.00,
-0.19122001563,0.00,
-0.19120001563,0.00,
-0.19118001563,0.00,
-0.19116001563,0.00,
-0.19114001563,0.00,
-0.19112001563,0.00,
-0.19110001563,0.00,
-0.19108001563,0.00,
-0.19106001563,0.00,
-0.19104001563,0.00,
-0.19102001563,0.00,
-0.19100001563,0.00,
-0.19098001563,-0.20000,
-0.19096001563,0.00,
-0.19094000000,0.00,
-0.19092001563,0.00,
-0.19090001563,0.00,
-0.19088001563,0.00,
-0.19086001563,0.20000,
-0.19084000000,0.00,
-0.19082001563,0.00,
-0.19080001563,0.00,
-0.19078001563,-0.20000,
-0.19076001563,0.00,
-0.19074001563,0.00,
-0.19072000000,0.00,
-0.19070001563,0.00,
-0.19068001563,0.00,
-0.19066001563,-0.20000,
-0.19064001563,0.00,
-0.19062000000,0.00,
-0.19060000000,0.00,
-0.19058001563,-0.20000,
-0.19056001563,-0.20000,
-0.19054001563,0.00,
-0.19052001563,0.00,
-0.19050000000,0.00,
-0.19048001563,0.00,
-0.19046001563,0.00,
-0.19044001563,0.00,
-0.19042001563,0.00,
-0.19040001563,0.00,
-0.19038000000,0.00,
-0.19036001563,-0.20000,
-0.19034001563,0.00,
-0.19032001563,0.00,
-0.19030001563,0.20000,
-0.19028000000,0.00,
-0.19026001563,0.00,
-0.19024001563,0.00,
-0.19022001563,0.00,
-0.19020001563,-0.20000,
-0.19018001563,0.00,
-0.19016000000,0.00,
-0.19014001563,0.00,
-0.19012001563,0.00,
-0.19010001563,0.00,
-0.19008001563,0.00,
-0.19006001563,0.00,
-0.19004000000,-0.20000,
-0.19002001563,-0.20000,
-0.19000001563,0.00,
-0.18998001563,-0.20000,
-0.18996001563,0.00,
-0.18994000000,0.00,
-0.18992001563,0.00,
-0.18990001563,0.00,
-0.18988001563,0.00,
-0.18986001563,0.00,
-0.18984000000,0.00,
-0.18982000000,0.00,
-0.18980001563,0.00,
-0.18978001563,0.00,
-0.18976001563,0.00,
-0.18974001563,0.00,
-0.18972000000,0.00,
-0.18970000000,-0.20000,
-0.18968001563,0.00,
-0.18966001563,-0.20000,
-0.18964001563,-0.20000,
-0.18962001563,0.00,
-0.18960000000,0.00,
-0.18958001563,0.00,
-0.18956001563,-0.20000,
-0.18954001563,0.00,
-0.18952001563,-0.20000,
-0.18950000000,0.00,
-0.18948000000,0.00,
-0.18946001563,0.00,
-0.18944001563,0.00,
-0.18942001563,0.00,
-0.18940001563,0.00,
-0.18938000000,0.00,
-0.18936000000,0.00,
-0.18934001563,0.00,
-0.18932001563,0.00,
-0.18930001563,-0.20000,
-0.18928000000,0.00,
-0.18926000000,0.00,
-0.18924001563,0.00,
-0.18922001563,0.00,
-0.18920001563,0.00,
-0.18918001563,-0.20000,
-0.18916000000,0.00,
-0.18914000000,0.00,
-0.18912001563,0.00,
-0.18910001563,0.00,
-0.18908001563,0.00,
-0.18906001563,0.00,
-0.18904000000,0.00,
-0.18902001563,0.00,
-0.18900001563,0.00,
-0.18898001563,0.00,
-0.18896001563,0.00,
-0.18894000000,0.00,
-0.18892000000,0.00,
-0.18890001563,0.00,
-0.18888001563,0.00,
-0.18886001563,0.00,
-0.18884000000,0.00,
-0.18882000000,0.20000,
-0.18880000000,-0.20000,
-0.18878001563,-0.20000,
-0.18876001563,-0.20000,
-0.18874001563,0.00,
-0.18872000000,0.00,
-0.18870000000,0.00,
-0.18868001563,-0.20000,
-0.18866001563,0.00,
-0.18864001563,0.00,
-0.18862000000,0.00,
-0.18860000000,0.00,
-0.18858000000,0.00,
-0.18856001563,0.20000,
-0.18854001563,0.00,
-0.18852001563,0.00,
-0.18850000000,0.00,
-0.18848000000,0.00,
-0.18846000000,0.00,
-0.18844001563,0.00,
-0.18842001563,0.00,
-0.18840001563,-0.20000,
-0.18838000000,0.00,
-0.18836000000,0.00,
-0.18834001563,0.00,
-0.18832001563,0.00,
-0.18830001563,0.00,
-0.18828000000,0.00,
-0.18826000000,0.00,
-0.18824000000,0.00,
-0.18822001563,0.00,
-0.18820001563,0.00,
-0.18818001563,0.00,
-0.18816000000,0.00,
-0.18814000000,0.00,
-0.18812000000,-0.20000,
-0.18810001563,0.00,
-0.18808001563,0.00,
-0.18806001563,0.00,
-0.18804000000,0.00,
-0.18802000000,0.00,
-0.18800001563,0.00,
-0.18798001563,-0.20000,
-0.18796001563,0.00,
-0.18794000000,0.00,
-0.18792000000,-0.20000,
-0.18790000000,0.00,
-0.18788001563,-0.20000,
-0.18786001563,0.00,
-0.18784000000,0.00,
-0.18782000000,0.00,
-0.18780000000,0.00,
-0.18778000000,-0.20000,
-0.18776001563,0.00,
-0.18774001563,0.00,
-0.18772000000,0.00,
-0.18770000000,0.00,
-0.18768000000,0.00,
-0.18766001563,-0.20000,
-0.18764001563,0.00,
-0.18762001563,0.00,
-0.18760000000,0.00,
-0.18758000000,0.00,
-0.18756000000,0.00,
-0.18754001563,0.00,
-0.18752001563,0.00,
-0.18750000000,0.00,
-0.18748000000,0.00,
-0.18746000000,0.00,
-0.18744001563,0.00,
-0.18742001563,-0.20000,
-0.18740001563,0.00,
-0.18738000000,-0.20000,
-0.18736000000,0.00,
-0.18734000000,0.00,
-0.18732001563,0.00,
-0.18730001563,0.00,
-0.18728000000,0.00,
-0.18726000000,0.00,
-0.18724000000,0.00,
-0.18722000000,0.00,
-0.18720001563,0.00,
-0.18718001563,0.00,
-0.18716000000,0.00,
-0.18714000000,0.00,
-0.18712000000,0.00,
-0.18710001563,0.00,
-0.18708001563,-0.20000,
-0.18706001563,0.00,
-0.18704000000,0.00,
-0.18702000000,0.00,
-0.18700000000,0.00,
-0.18698001563,0.00,
-0.18696001563,0.00,
-0.18694000000,0.00,
-0.18692000000,-0.20000,
-0.18690000000,-0.20000,
-0.18688000000,0.00,
-0.18686001563,0.00,
-0.18684000000,0.00,
-0.18682000000,0.00,
-0.18680000000,0.00,
-0.18678000000,0.00,
-0.18676001563,0.00,
-0.18674001563,0.00,
-0.18672000000,0.00,
-0.18670000000,0.00,
-0.18668000000,0.00,
-0.18666000000,0.00,
-0.18664001563,0.00,
-0.18662000000,-0.20000,
-0.18660000000,0.00,
-0.18658000000,0.00,
-0.18656000000,0.00,
-0.18654000000,0.00,
-0.18652001563,0.00,
-0.18650000000,-0.20000,
-0.18648000000,-0.20000,
-0.18646000000,0.00,
-0.18644000000,0.00,
-0.18642001563,0.00,
-0.18640001563,0.00,
-0.18638000000,0.00,
-0.18636000000,0.00,
-0.18634000000,0.00,
-0.18632000000,0.00,
-0.18630001563,0.00,
-0.18628000000,0.00,
-0.18626000000,0.00,
-0.18624000000,0.00,
-0.18622000000,0.00,
-0.18620000000,0.00,
-0.18618001563,0.00,
-0.18616000000,0.00,
-0.18614000000,0.00,
-0.18612000000,0.00,
-0.18610000000,0.00,
-0.18608001563,0.00,
-0.18606001563,0.00,
-0.18604000000,0.00,
-0.18602000000,0.00,
-0.18600000000,0.00,
-0.18598000000,0.00,
-0.18596001563,0.00,
-0.18594000000,-0.20000,
-0.18592000000,0.00,
-0.18590000000,0.00,
-0.18588000000,0.00,
-0.18586001563,0.00,
-0.18584000000,0.00,
-0.18582000000,0.00,
-0.18580000000,0.00,
-0.18578000000,0.00,
-0.18576000000,0.00,
-0.18574001563,0.00,
-0.18572000000,0.00,
-0.18570000000,0.00,
-0.18568000000,0.00,
-0.18566000000,0.00,
-0.18564000000,0.00,
-0.18562001563,0.00,
-0.18560000000,0.00,
-0.18558000000,0.00,
-0.18556000000,0.00,
-0.18554000000,0.00,
-0.18552001563,-0.20000,
-0.18550000000,-0.20000,
-0.18548000000,-0.20000,
-0.18546000000,0.00,
-0.18544000000,0.00,
-0.18542000000,0.00,
-0.18540001563,0.00,
-0.18538000000,0.00,
-0.18536000000,0.00,
-0.18534000000,0.20000,
-0.18532000000,0.00,
-0.18530000000,0.00,
-0.18528000000,0.00,
-0.18526000000,0.00,
-0.18524000000,0.00,
-0.18522000000,-0.20000,
-0.18520000000,-0.20000,
-0.18518001563,0.00,
-0.18516000000,0.00,
-0.18514000000,0.00,
-0.18512000000,0.00,
-0.18510000000,0.00,
-0.18508000000,0.00,
-0.18506001563,-0.20000,
-0.18504000000,0.00,
-0.18502000000,-0.20000,
-0.18500000000,0.00,
-0.18498001563,0.00,
-0.18496001563,0.00,
-0.18494001563,0.00,
-0.18492001563,0.00,
-0.18490001563,0.00,
-0.18488001563,0.00,
-0.18486001563,0.00,
-0.18484001563,0.00,
-0.18482001563,-0.20000,
-0.18480001563,0.00,
-0.18478001563,0.00,
-0.18476001563,0.00,
-0.18474001563,0.00,
-0.18472001563,0.00,
-0.18470001563,0.00,
-0.18468001563,0.00,
-0.18466001563,0.00,
-0.18464001563,0.00,
-0.18462001563,0.00,
-0.18460001563,0.00,
-0.18458001563,-0.20000,
-0.18456001563,0.00,
-0.18454001563,0.00,
-0.18452001563,0.00,
-0.18450001563,0.00,
-0.18448001563,0.00,
-0.18446001563,0.00,
-0.18444001563,0.00,
-0.18442001563,0.00,
-0.18440001563,0.00,
-0.18438001563,0.00,
-0.18436001563,0.00,
-0.18434001563,0.00,
-0.18432001563,0.00,
-0.18430001563,0.00,
-0.18428001563,0.00,
-0.18426001563,0.00,
-0.18424001563,0.00,
-0.18422001563,0.00,
